:16:08
T:30.0°C -- T2:28.9°C -- HR:73.1 08/09/2021 11:09:33
T:30.1°C -- T2:29.1°C -- HR:70.7 08/09/2021 11:09:54
T:30.0°C -- T2:29.0°C -- HR:72.2 08/09/2021 11:10:15
T:29.9°C -- T2:28.9°C -- HR:72.4 08/09/2021 11:10:36
T:30.1°C -- T2:29.1°C -- HR:71.3 08/09/2021 11:10:57
T:29.9°C -- T2:28.8°C -- HR:76.0 08/09/2021 11:11:18
T:29.8°C -- T2:28.8°C -- HR:76.8 08/09/2021 11:11:39
T:30.0°C -- T2:29.0°C -- HR:74.1 08/09/2021 11:12:00
T:30.2°C -- T2:29.2°C -- HR:71.3 08/09/2021 11:12:21
T:30.1°C -- T2:29.1°C -- HR:71.9 08/09/2021 11:12:42
T:29.8°C -- T2:28.8°C -- HR:73.7 08/09/2021 11:13:03
T:30.0°C -- T2:29.0°C -- HR:71.4 08/09/2021 11:13:24
T:30.0°C -- T2:29.0°C -- HR:71.8 08/09/2021 11:13:45
T:29.8°C -- T2:28.8°C -- HR:73.3 08/09/2021 11:14:06
T:30.0°C -- T2:29.0°C -- HR:71.1 08/09/2021 11:14:27
T:30.0°C -- T2:29.0°C -- HR:72.0 08/09/2021 11:14:48
T:29.9°C -- T2:28.9°C -- HR:73.8 08/09/2021 11:15:09
T:30.1°C -- T2:29.1°C -- HR:71.5 08/09/2021 11:15:30
T:30.1°C -- T2:29.1°C -- HR:71.7 08/09/2021 11:15:51
T:29.9°C -- T2:28.9°C -- HR:74.1 08/09/2021 11:16:12
T:30.0°C -- T2:29.0°C -- HR:72.3 08/09/2021 11:16:33
T:30.2°C -- T2:29.2°C -- HR:71.1 08/09/2021 11:16:54
T:29.9°C -- T2:28.9°C -- HR:74.1 08/09/2021 11:17:15
T:29.9°C -- T2:28.9°C -- HR:73.5 08/09/2021 11:17:36
T:30.1°C -- T2:29.1°C -- HR:71.1 08/09/2021 11:17:57
T:30.0°C -- T2:29.0°C -- HR:72.4 08/09/2021 11:18:18
T:29.8°C -- T2:28.8°C -- HR:74.1 08/09/2021 11:18:39
T:30.0°C -- T2:29.0°C -- HR:71.9 08/09/2021 11:19:00
T:30.1°C -- T2:29.0°C -- HR:72.3 08/09/2021 11:19:21
T:29.8°C -- T2:28.3°C -- HR:79.8 08/09/2021 11:19:42
T:29.7°C -- T2:28.4°C -- HR:80.9 08/09/2021 11:20:03
T:29.9°C -- T2:28.9°C -- HR:78.3 08/09/2021 11:20:24
T:30.0°C -- T2:29.0°C -- HR:75.4 08/09/2021 11:20:45
T:30.2°C -- T2:29.2°C -- HR:72.4 08/09/2021 11:21:06
T:30.2°C -- T2:29.2°C -- HR:70.9 08/09/2021 11:21:27
T:29.9°C -- T2:28.5°C -- HR:75.9 08/09/2021 11:21:48
